ab,about
abt,about
b/c,because
b,be
b4,before
beetweet,hot
bfn,bye for now
bgd,background
br,best regards
btw,by the way
chk,check
cld,could
clk,click
coz,because
cre8,create
da,the
deets,details
dm,direct message
em,email
eml,email
f2f,face to face
fab,fabulous
ftl,for the loss
ftw,for the win
ic,i see
icymi,in case you missed it
idk,i do not know
nts,note to self
prt,please retweet
tbh,to be honest
tbt,throw back thursday
tftf,thanks for the follow
tmb,tweet me back
u,you
woz,was
wtv,whatever
wtf,what the fuck
kms,kill myself
omg,oh my god
hmu,hit me up
smh,shaking my head
asap,as soon as possible
tmlt,to my last tweet
lmao,laughing my ass of
dwnld,download
pic,picture
pics,pictures
twt,tweet
bc,because
pls,please
cuz,because
brb,be right back
pw,password
dis,this
im,i am
ur,you are